# 네이버 증권에서 자동 생성된 종목 리스트 (시총 3000억 이상), ETN/ETF/스팩/우선주 제외
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
009150,삼성전기
373220,LG에너지솔루션
005380,현대차
207940,삼성바이오로직스
105560,KB금융
028260,삼성물산
032830,삼성생명
012450,한화에어로스페이스
034020,두산에너빌리티
055550,신한지주
329180,HD현대중공업
000270,기아
006400,삼성SDI
068270,셀트리온
034730,SK
086790,하나금융지주
012330,현대모비스
066570,LG전자
010120,LS ELECTRIC
035420,NAVER
000810,삼성화재
298040,효성중공업
316140,우리금융지주
267260,HD현대일렉트릭
005490,POSCO홀딩스
042660,한화오션
009540,HD한국조선해양
010130,고려아연
000150,두산
096770,SK이노베이션
042700,한미반도체
138040,메리츠금융지주
015760,한국전력
011200,HMM
017670,SK텔레콤
051910,LG화학
010140,삼성중공업
033780,KT&G
006800,미래에셋증권
018260,삼성에스디에스
003550,LG
010950,S-Oil
267250,HD현대
003670,포스코퓨처엠
079550,LIG디펜스앤에어로스페이스
024110,기업은행
086280,현대글로비스
272210,한화시스템
035720,카카오
000720,현대건설
278470,에이피알
064350,현대로템
030200,KT
047810,한국항공우주
011070,LG이노텍
005830,DB손해보험
443060,HD현대마린솔루션
003490,대한항공
078930,GS
028050,삼성E&A
071050,한국금융지주
006260,LS
307950,현대오토에버
047050,포스코인터내셔널
323410,카카오뱅크
003230,삼양식품
000500,가온전선
005940,NH투자증권
259960,크래프톤
180640,한진칼
090430,아모레퍼시픽
0126Z0,삼성에피스홀딩스
047040,대우건설
016360,삼성증권
007660,이수페타시스
161390,한국타이어앤테크놀로지
352820,하이브
021240,코웨이
000880,한화
039490,키움증권
064400,LG씨엔에스
267270,HD건설기계
062040,산일전기
128940,한미약품
009830,한화솔루션
001440,대한전선
326030,SK바이오팜
032640,LG유플러스
175330,JB금융지주
241560,두산밥캣
000100,유한양행
000990,DB하이텍
377300,카카오페이
052690,한전기술
088350,한화생명
353200,대덕전자
029780,삼성카드
138930,BNK금융지주
004020,현대제철
088980,맥쿼리인프라
454910,두산로보틱스
066970,엘앤에프
036570,NC
271560,오리온
051900,LG생활건강
011790,SKC
082740,한화엔진
034220,LG디스플레이
001450,현대해상
002380,KCC
010060,OCI홀딩스
001040,CJ
103590,일진전기
018880,한온시스템
161890,한국콜마
004170,신세계
375500,DL이앤씨
008930,한미사이언스
336260,두산퓨얼셀
036460,한국가스공사
023530,롯데쇼핑
111770,영원무역
006360,GS건설
022100,포스코DX
012750,에스원
192820,코스맥스
028670,팬오션
035250,강원랜드
011780,금호석유화학
031210,서울보증보험
007340,DN오토모티브
017800,현대엘리베이터
251270,넷마블
139130,iM금융지주
302440,SK바이오사이언스
011170,롯데케미칼
004800,효성
383220,F&F
003690,코리안리
097950,CJ제일제당
085620,미래에셋생명
026960,동서
009420,한올바이오파마
450080,에코프로머티
004990,롯데지주
489790,한화비전
282330,BGF리테일
004370,농심
000240,한국앤컴퍼니
005850,에스엘
005440,현대지에프홀딩스
014680,한솔케미칼
001720,신영증권
483650,달바글로벌
204320,HL만도
103140,풍산
018670,SK가스
020150,롯데에너지머티리얼즈
279570,케이뱅크
009970,영원무역홀딩스
112610,씨에스윈드
069960,현대백화점
051600,한전KPS
081660,미스토홀딩스
139480,이마트
073240,금호타이어
030000,제일기획
002790,아모레퍼시픽홀딩스
457190,이수스페셜티케미컬
007070,GS리테일
229640,LS에코에너지
181710,NHN
462870,시프트업
439260,대한조선
089860,롯데렌탈
071970,HD현대마린엔진
475150,SK이터닉스
023590,다우기술
120110,코오롱인더
001120,LX인터내셔널
001430,세아베스틸지주
000120,CJ대한통운
012630,HDC
020560,아시아나항공
008770,호텔신라
006040,동원산업
093370,후성
294870,IPARK현대산업개발
395400,SK리츠
001820,삼화콘덴서
011210,현대위아
001800,오리온홀딩스
281820,케이씨텍
006280,녹십자
298020,효성티앤씨
322000,HD현대에너지솔루션
097230,HJ중공업
005070,코스모신소재
361610,SK아이이테크놀로지
415640,KB발해인프라
069620,대웅제약
007310,오뚜기
001740,SK네트웍스
007810,코리아써키트
003540,대신증권
192080,더블유게임즈
300720,한일시멘트
280360,롯데웰푸드
330590,롯데리츠
004000,롯데정밀화학
000210,DL
030610,교보증권
006340,대원전선
017960,한국카본
000080,하이트진로
003240,태광산업
195870,해성디에스
003530,한화투자증권
006120,SK디스커버리
192400,쿠쿠홀딩스
077970,STX엔진
000370,한화손해보험
451800,한화리츠
003570,SNT다이내믹스
032350,롯데관광개발
003090,대웅
009240,한샘
006110,삼아알미늄
034230,파라다이스
030190,NICE평가정보
009450,경동나비엔
003160,디아이
185750,종근당
285130,SK케미칼
005300,롯데칠성
000670,영풍
079160,CJ CGV
003470,유안타증권
071320,지역난방공사
004490,세방전지
005090,SGC에너지
499790,GS피앤엘
100840,SNT에너지
005690,파미셀
365550,ESR켄달스퀘어리츠
036530,SNT홀딩스
005180,빙그레
100090,SK오션플랜트
298050,HS효성첨단소재
137310,에스디바이오센서
214320,이노션
094800,맵스리얼티
003850,보령
064960,SNT모티브
090460,비에이치
456040,OCI
293940,신한알파리츠
069260,TKG휴켐스
268280,미원에스씨
002960,한국쉘석유
005880,대한해운
017940,E1
001060,JW중외제약
000400,롯데손해보험
006650,대한유화
001570,금양
093050,LF
000640,동아쏘시오홀딩스
317450,명인제약
014820,동원시스템즈
001680,대상
017900,광전자
383800,LX홀딩스
079900,전진건설로봇
453340,현대그린푸드
002840,미원상사
248070,솔루엠
033240,자화전자
075580,세진중공업
108320,LX세미콘
336370,솔루스첨단소재
016380,KG스틸
025540,한국단자
003300,한일홀딩스
001530,DI동일
114090,GKL
001510,SK증권
178920,PI첨단소재
005810,풍산홀딩스
002350,넥센타이어
0220W0,한화머시너리앤서비스홀딩스
007700,F&F홀딩스
284740,쿠쿠홈시스
058650,세아홀딩스
00104K,CJ4우(전환)
004710,한솔테크닉스
001270,부국증권
